idAutor,apNom
1,"Carmen Valldejuli"
7,"Cecilia Fassardi"
5,"Christine Bailey"
2,"Kristen Feola"
3,"Mirta G. Carabajal"
4,"Petrona c. de Gandulfo"
6,"Toni Rodriguez"
